Timestamp,Time,Source,Destination,Discovery,Packet_length,Payload_length,Sequence_number,Mac,Manufacturer,Src_device,Dst_device,Burst
1621912110,2021-05-25 08:08:30,0x00008dc0,0x00000000,0x00000001,52,15,191,b0:ce:18:14:00:01:2a:02,"Zhejiang shenghui lighting co.,Ltd",ZED,ZC,248
1621912110,2021-05-25 08:08:30,0x00000000,0x00008dc0,0x00000001,49,8,159,24:fd:5b:00:00:02:1d:72,"Zhejiang shenghui lighting co.,Ltd",ZC,ZED,248
1621912179,2021-05-25 08:09:39,0x0000f6cd,0x00000000,0x00000001,52,15,71,00:12:4b:00:22:ee:28:a8,Texas Instruments,ZR,ZC,249
1621912180,2021-05-25 08:09:40,0x00000000,0x0000f6cd,0x00000000,50,13,166,24:fd:5b:00:00:02:1d:72,Texas Instruments,ZC,ZR,249
1621912180,2021-05-25 08:09:40,0x0000f6cd,0x00000000,0x00000001,45,8,73,00:12:4b:00:22:ee:28:a8,Texas Instruments,ZR,ZC,249
1621912199,2021-05-25 08:09:59,0x0000cbf8,0x00000000,0x00000001,53,16,134,28:6d:97:00:01:11:01:c1,"SAMJIN Co., Ltd.",ZED,ZC,250
1621912200,2021-05-25 08:10:00,0x00000000,0x0000cbf8,0x00000001,45,8,169,24:fd:5b:00:00:02:1d:72,"SAMJIN Co., Ltd.",ZC,ZED,250
1621912200,2021-05-25 08:10:00,0x00000000,0x0000cbf8,0x00000000,50,13,171,24:fd:5b:00:00:02:1d:72,"SAMJIN Co., Ltd.",ZC,ZED,250
1621912200,2021-05-25 08:10:00,0x0000cbf8,0x00000000,0x00000000,45,8,135,28:6d:97:00:01:11:01:c1,"SAMJIN Co., Ltd.",ZED,ZC,250
1621912221,2021-05-25 08:10:21,0x00005465,0x00000000,0x00000000,57,20,48,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,251
1621912221,2021-05-25 08:10:21,0x00000000,0x00005465,0x00000000,49,8,174,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,251
1621912221,2021-05-25 08:10:21,0x00000000,0x00005465,0x00000000,53,12,176,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,251
